gender,famsize,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,schoolsup,famsup,activities,nursery,higher,internet,freetime,goout,health,attendance,ssc,hsc,avg_pointer,Learner_type
F,GT3,4,4,at_home,teacher,mother,2,2,yes,no,no,yes,yes,no,3,4,3,74.47,83.62,72.88,7.23,1
F,GT3,1,1,at_home,other,father,1,2,no,yes,no,no,yes,yes,3,3,3,70.87,89.25,74.87,7.11,1
F,LE3,1,1,at_home,other,mother,1,2,yes,no,no,yes,yes,yes,3,2,3,55.23,90.69,78.56,7.93,1
F,GT3,4,2,health,services,mother,1,3,no,yes,yes,yes,yes,yes,2,2,5,82.03,81.21,66.61,6.17,0
F,GT3,3,3,other,other,father,1,2,no,yes,no,yes,yes,no,3,2,5,85.91,98.59,82.86,8.48,1
M,LE3,4,3,services,other,mother,1,2,no,yes,yes,yes,yes,yes,4,2,5,52.78,89.73,77.43,8.54,1
M,LE3,2,2,other,other,mother,1,2,no,no,no,yes,yes,yes,4,4,3,57.75,94.84,89.75,8.65,1
F,GT3,4,4,other,teacher,mother,2,2,yes,yes,no,yes,yes,no,1,4,1,70.86,93.51,86.09,6.91,0
M,LE3,3,2,services,other,mother,1,2,no,yes,no,yes,yes,yes,2,2,1,68.57,69.32,58.21,5.96,0
M,GT3,3,4,other,other,mother,1,2,no,yes,yes,yes,yes,yes,5,1,5,60.11,96.74,88.72,7.14,1
F,GT3,4,4,teacher,health,mother,1,2,no,yes,no,yes,yes,yes,3,3,2,64.44,94.21,81.74,8.75,1
F,GT3,2,1,services,other,father,3,3,no,yes,yes,yes,yes,yes,2,2,4,83.5,88.85,76.3,7.4,1
M,LE3,4,4,health,services,father,1,1,no,yes,yes,yes,yes,yes,3,3,5,67.04,93.15,86.02,7.19,1
M,GT3,4,3,teacher,other,mother,2,2,no,yes,no,yes,yes,yes,4,3,3,76.65,85.14,72.58,7.73,1
M,GT3,2,2,other,other,other,1,3,no,yes,no,yes,yes,yes,5,2,3,68.13,96.8,82.09,7,1
F,GT3,4,4,health,other,mother,1,1,no,yes,no,yes,yes,yes,4,4,2,55.79,82.08,73.6,7.02,1
F,GT3,4,4,services,services,mother,1,3,no,yes,yes,yes,yes,yes,2,3,2,83.6,88.78,83.29,6.91,0
F,GT3,3,3,other,other,mother,3,2,yes,yes,yes,yes,yes,no,3,2,4,70.74,96.96,81.54,8.39,1
M,GT3,3,2,services,services,mother,1,1,no,yes,yes,yes,yes,yes,5,5,5,58.34,97.59,90.44,9.48,1
M,LE3,4,3,health,other,father,1,1,no,no,yes,yes,yes,yes,1,3,5,53.85,98.16,88.31,8.83,1
M,GT3,4,3,teacher,other,mother,1,2,no,no,no,yes,yes,yes,4,1,1,88.67,89.6,76.35,5.7,0
M,GT3,4,4,health,health,father,1,1,no,yes,no,yes,yes,yes,4,2,5,51.86,90.3,84.53,7.66,1
M,LE3,4,2,teacher,other,mother,1,2,no,no,yes,yes,yes,yes,5,1,5,81.01,83.19,77.37,8.66,1
M,LE3,2,2,other,other,mother,2,2,no,yes,yes,yes,yes,yes,4,4,5,88.98,86.19,70.32,5.33,0
F,GT3,2,4,services,health,mother,1,3,yes,yes,yes,yes,yes,yes,3,2,5,75.58,86.35,77.52,8.42,1
F,GT3,2,2,services,services,mother,1,1,no,yes,no,no,yes,yes,2,2,5,51.34,98.71,90.88,9.93,1
M,GT3,2,2,other,other,mother,1,1,no,yes,no,yes,yes,yes,2,2,5,84.14,98.7,93.54,8.49,1
M,GT3,4,2,health,services,mother,1,1,no,no,no,yes,yes,yes,2,4,1,78.62,73.3,57.34,4.87,0
M,LE3,3,4,services,other,mother,1,2,yes,yes,yes,yes,yes,yes,3,3,5,57.05,88.27,74.49,6.81,0
M,GT3,4,4,teacher,teacher,mother,1,2,no,yes,yes,yes,yes,yes,4,5,5,56.31,95.32,88.06,7.23,1
M,GT3,4,4,health,services,mother,1,2,no,yes,no,no,yes,yes,4,2,5,76.55,87.14,78.67,6.51,0
M,GT3,4,4,services,services,mother,2,2,no,yes,yes,yes,yes,yes,3,1,5,78.06,84.04,78.48,8.44,1
M,GT3,4,3,teacher,at_home,mother,1,2,no,yes,yes,yes,yes,yes,5,2,5,78.52,85.11,73.49,6.18,0
M,LE3,3,3,other,other,mother,1,2,no,no,yes,no,yes,yes,3,2,2,56.79,82.24,68,5.69,0
M,GT3,3,2,other,other,mother,1,1,no,yes,no,no,yes,yes,4,3,5,72.81,97.26,81.92,8.36,1
F,GT3,2,3,other,other,father,2,1,no,yes,yes,yes,yes,no,5,1,5,59.37,98.02,90.64,9.62,1
M,LE3,4,3,teacher,services,mother,1,3,no,yes,yes,yes,yes,yes,4,3,4,82.37,99.56,91.83,7.72,1
M,GT3,4,4,other,teacher,mother,2,3,no,yes,yes,yes,yes,yes,4,3,5,65.62,95.08,85.31,8.62,1
F,GT3,3,4,services,health,mother,1,3,yes,yes,yes,yes,yes,yes,3,2,5,55.39,95.69,87.78,8.62,1
F,GT3,2,2,at_home,other,mother,1,1,yes,yes,yes,yes,yes,no,3,1,2,61.25,87.63,72.12,6.7,0
F,LE3,2,2,other,other,mother,2,2,no,yes,yes,no,yes,yes,3,3,3,88.25,93.9,82.85,6.43,0
M,LE3,4,4,teacher,other,other,1,1,no,yes,no,no,yes,yes,4,3,5,66.94,88.58,73.61,5.5,0
M,GT3,4,4,services,teacher,father,1,2,no,yes,yes,yes,yes,yes,3,3,5,69.97,94.96,81.92,7.02,1
M,GT3,2,2,services,services,father,1,1,yes,yes,no,yes,yes,yes,4,1,1,50.71,74.91,60.6,5.76,0
F,LE3,2,2,other,at_home,father,2,2,yes,no,yes,yes,yes,yes,3,3,5,73.68,91.36,79.32,6.54,0
F,LE3,4,3,other,other,mother,1,2,yes,yes,yes,yes,yes,yes,2,2,5,84.35,93.57,83.38,7.62,1
F,LE3,3,3,other,services,mother,1,2,no,yes,no,yes,yes,yes,3,5,3,52.2,98.66,82.94,9.24,1
M,GT3,4,3,health,services,mother,1,4,no,no,yes,yes,yes,yes,2,2,2,79.87,90.38,81.94,8.97,1
M,GT3,4,2,teacher,other,mother,1,2,no,yes,no,yes,yes,no,3,3,5,87.67,89.03,74.73,7.13,1
F,GT3,4,4,services,teacher,father,1,2,yes,yes,yes,no,yes,yes,4,4,3,90.45,88.02,74.08,7.65,1
F,LE3,2,2,services,services,mother,3,2,no,yes,no,yes,yes,yes,3,3,4,82.36,92.18,83.79,7.53,1
F,LE3,4,2,health,other,mother,1,2,no,yes,no,yes,yes,yes,3,3,5,73.51,92.01,77.52,8.15,1
M,LE3,4,2,health,health,father,2,1,no,no,no,yes,yes,no,5,5,5,72.47,98.18,91.1,7.19,1
F,GT3,4,4,services,services,mother,1,1,yes,yes,no,yes,yes,yes,3,4,5,51.12,88.06,74.15,8.17,1
F,LE3,3,3,other,other,mother,1,1,no,no,no,yes,yes,yes,3,4,1,57.54,94.82,81.88,7.75,1
F,GT3,2,1,other,other,mother,1,2,no,no,yes,yes,yes,yes,3,4,2,78.82,91.8,77.55,5.95,0
F,GT3,4,3,services,services,mother,1,2,no,yes,yes,yes,yes,yes,3,2,1,59.5,93.65,84.83,8.67,1
M,GT3,4,4,teacher,health,mother,1,2,no,yes,yes,yes,yes,no,2,2,5,53.82,87.44,71.52,7.67,1
M,LE3,1,2,other,at_home,father,1,2,yes,yes,yes,yes,yes,yes,3,2,5,75.06,86.9,79.53,8.05,1
F,GT3,4,2,services,other,mother,1,2,no,yes,no,yes,yes,yes,2,3,5,81.32,79.3,63.32,5.92,0
F,GT3,4,4,health,teacher,mother,1,2,no,yes,yes,yes,yes,no,4,4,4,65.92,81.57,70.45,6.79,0
F,GT3,1,1,services,services,father,4,1,yes,yes,yes,no,yes,yes,5,5,5,69.05,83.53,74.21,7.21,1
F,LE3,1,2,other,services,father,1,2,yes,no,yes,yes,yes,yes,4,3,1,68.62,99.34,87.86,6.97,0
F,GT3,4,3,teacher,health,mother,1,3,yes,yes,yes,yes,yes,yes,4,4,4,82.86,93.24,86.84,8.86,1
F,LE3,4,3,services,services,father,1,2,yes,no,yes,yes,yes,yes,4,4,2,76.9,86.25,78.98,7.85,1
